阿党比周    相互勾结，相互偏袒，结党营私。
兼收并录    把不同的说法都一并载录下来。
兼收并畜    同“兼收并蓄”。
兼收并蓄    唐韩愈《进学解》：“玉札丹砂，赤箭青芝，牛溲马勃，败鼓之皮，俱收并蓄，待用无遗者，医师之良也。”谓把各种东西一律收罗藏蓄。后以“兼收并蓄”指把性质不同的各方面的东西都吸收、包罗进来。
兼收博采    犹兼收并采。
兼听则明，偏信则暗    意谓多方面听取意见，才能明辨是非；单听信某方面的话，就愚昧不明。语本《管子·君臣上》：“夫民别而听之则愚，合而听之则圣。”
兼硃重紫    谓兼任很多显耀官职。硃，硃衣；紫，紫绶。
监临自盗    见“监主自盗”。
监市履豨    《庄子·知北游》：“正获之问於监市履豨也，每下愈况。”王先谦集解引李颐曰：“市魁履豕，履其股脚豨难肥处，故知豕肥耳。”后以“监市履豨”喻善于体察事物。
监守自盗    见“监主自盗”。
监主自盗    盗窃自己所负责经管的公家财物。
缄口不言    闭口不说话。
缄口结舌    闭口不言。
煎豆摘瓜    喻亲属相残。煎豆，语本三国魏曹植《七步诗》：“煮豆燃豆萁……相煎何太急。”摘瓜，语本唐李贤《黄台瓜辞》：“三摘犹自可，摘绝抱蔓归。”
煎胶续弦    喻交情密切或再续旧情。
煎水作冰    喻不可能之事。
蒹葭伊人    《诗·秦风·蒹葭》：“蒹葭苍苍，白露为霜，所谓伊人，在水一方。”本指在水边思念故人，后常用来表示对人怀念。
蒹葭倚玉    又作：蒹葭玉树。
蒹葭玉树    南朝宋刘义庆《世说新语·容止》：“魏明帝使后弟毛曾与夏侯玄共坐，时人谓‘蒹葭依玉树’。”蒹葭，指毛曾；玉树，指夏侯玄。谓两个品貌极不相称的人在一起。后以“蒹葭玉树”表示地位低的人仰攀、依附地位高贵的人。亦常用作谦辞。
拣佛烧香    ①谓选择自己要祈求的佛菩萨烧香礼拜。语出唐寒山《诗》之一五九：“择佛烧好香，拣僧归供养。”②比喻出于某种需要而对某人进行访问馈赠。
拣精拣肥    谓刻意选择，多方挑剔。
俭不中礼    谓节省太过而不合于礼。
茧丝牛毛    如蚕丝，如牛毛。比喻细密繁多。
减师半德    谓只学到老师的一半。
剪草除根    犹斩草除根。比喻从根本上消除祸患。
剪发被褐    见“剪发披缁”。
剪发披缁    亦作“剪发被褐”。削发，身着僧尼服装。谓出家为僧尼。
简傲绝俗    谓高傲而超越世俗。
简捷了当    直截了当。
简截了当    简单明白。
简落狐狸    抓住狐狸。落，通“络”。比喻制裁奸邪小丑。
简明扼要    谓简单明白，抓住要点。
简墨尊俎    谓文墨交往，宴饮游从。
简切了当    见“简截了当”。
简丝数米    简择丝缕，查点米粒。比喻工作琐细。
简贤附势    轻视贤良，依附权势。
简贤任能    选用贤能。
简约详核    简要翔实。
翦草除根    比喻彻底清除，不留后患。
翦发待宾    晋陶侃早孤贫，为县吏。鄱阳孝廉范逵过侃，仓猝无以待宾，其母乃截发得双髲，以易酒肴，乐饮极欢。事见《晋书·陶侃传》。后世传为美谈，并常以喻贤母。元秦简夫有《晋陶侃母剪发待宾》杂剧。亦省作“翦发”。
蹇谔匪躬    见“蹇蹇匪躬”。
蹇蹇匪躬    《易·蹇》：“六二，王臣蹇蹇，匪躬之故。”高亨注：“言王臣謇謇忠告直谏者，非其身之事，乃君国之事也。”后因以“蹇蹇匪躬”谓为君国而忠直谏诤。蹇，通“謇”。
蹇人上天    典出《后汉书·五行志一》：“王莽末，天水童谣曰：‘出吴门，望缇群。见一蹇人，言欲上天；令天可上，地上安得民！’时隗嚣初起兵於天水，后意稍广，欲为天子，遂破灭。嚣少病蹇。吴门，冀郭门名也。缇群，山名也。”后因以“蹇人上天”、“蹇人升天”比喻不可能之事。
蹇人升天    见“蹇人上天”。
蹇视高步    又作：昂首阔步。
蹇之匪躬    见“蹇蹇匪躬”。
见鞍思马    看到马鞍想起马。比喻触类相思。
见财起意    见了财物，引起歹念。
见弹求鹗    见“见弹求鸮”。
见弹求鸮    看到弹丸，就想得到鸟的炙肉。比喻过早估计实效。语本《庄子·齐物论》：“且女亦大早计，见卵而求时夜，见弹而求鸮炙。”
见德思齐    见“见贤思齐”。
见多识广    见过的多，知道的广。谓阅历深，经验多。
见风使船    同“见风使舵”。
见风使舵    比喻作事无定见，相机行事，随机应变。
见风使帆    同“见风使舵”。
见风是雨    比喻只看到一点迹象，就轻率地信以为真。
见风转舵    同“见风使舵”。
见风转篷    同“见风使舵”。
见缝插针    比喻善于抓紧机会，利用一切可利用的时间、空间。
见羹见墙    相传尧去世后，舜仰慕三年，坐则见尧之幻影于墙，食则见尧之幻影于羹。见《后汉书·李固传》。后用以谓对圣贤的思慕。
见怪不怪    谓遇见怪异现象而不自惊异。
见怪非怪    见“见怪不怪”。
见惯不惊    经常看到，习以为常。
见惯司空    谓经常看到，不足为奇。
见机而作    同“见几而作”。
见机行事    谓看清适当时机灵活地处理事情。
见几而作    谓事前明察事物细微的变化，抓住有利时机而有所动作。
见经识经    形容一看便明白，十分机灵。
见精识精    同“见经识经”。
见景生情    ①看到眼前景物而引起某种联想或感慨。②又作：随机应变。
见哭兴悲    见别人哭泣而引起自己的悲伤。谓产生同情心。
见利思义    看到利益，想到道义。谓以道义为重。
见利忘义    看到私利，而不顾道义。语出《汉书·樊哙郦商等传赞》：“当孝文时，天下以郦寄为卖友。夫卖友者，谓见利而忘义也。”
见猎心喜    《二程遗书》卷七：“明道（程颢）年十六七时，好田猎。十二年，暮归，在田野间见田猎者，不觉有喜心。”后以“见猎心喜”比喻旧习难忘，触其所好，便跃跃欲试。清梁绍壬《两般秋雨盦随笔·陶篁村》：“乾隆甲寅，春田以新补弟子员入场。先生见猎心喜，意欲重携铅椠。”徐兴业《金瓯缺》第二一章九：“高世宜真所谓是‘见猎心喜’，他一看机会已到，摆一摆手，示意部下休得妄动，惊走了它。”一说，为三国魏曹丕故事。见三国魏曹丕《〈典论〉自序》。亦省作“见猎”。
见貌辨色    通过观察脸色来辨别对方的心思。形容为人机灵。
见溺不救    又作：见死不救。
见钱眼红    见“见钱眼开”。
见钱眼开    谓贪鄙爱财。
见诮大方    见“见笑大方”。
见仁见智    语本《易·系辞上》：“仁者见之谓之仁，知者见之谓之知。”知，同“智”。后以“见仁见智”谓对同一问题各有各的见解。
见神见鬼    形容猜疑畏惧的样子。
见时知几    谓看到时运的推移而预知事情变化的先兆。
见豕负涂    看见豕伏于道中。语出《易·暌》：“上九，暌孤，见豕负涂。”王弼注：“见豕负涂，甚可秽也。”孔颖达疏：“‘离’为文明，‘泽’是卑秽，以文明之极，而观至秽之物，事同豕而负涂，泥秽莫斯甚矣。”后因以“见豕负涂”喻卑秽污浊。
见始知终    谓看见事物的开始阶段就能预见到它的最终结果。
见世生苗    比喻眼前就会收效得利。
见事风生    谓遇事雷厉风行。
见事生风    形容遇到事情，兴风作浪。
见死不救    见到面临死亡威胁或困境的人而不去援救。常比喻冷酷无情。
见素抱朴    现其本真，守其纯朴。谓不为外物所牵。
见所不见    见“见所未见”。
见所未见    亦作“见所不见”。见到从来没有看到过的。形容事物十分希罕。
见兔放鹰    ①禅宗谓有的放矢，对机说法。②谓看到眼前利益，就竞相追逐。
见兔顾犬    比喻时机当前，急谋对策。语本《战国策·楚策四》：“见兔而顾犬，未为晚也。”
见危授命    谓在危难关头，勇于献身。
见危致命    见“见危授命”。
见微知著    谓看到事物的一些苗头，就能知道它的发展趋向。语本《韩非子·说林上》：“圣人见微以知萌，见端以知末，故见象箸而怖，知天下不足也。”
见贤思齐    看到德才兼备的人，就想向他学习，和他一样。
见小闇大    谓小事清楚，大事糊涂。
见笑大方    被见识广博的人所笑话。泛指被内行笑话。常用作谦词。语本《庄子·秋水》：“吾非至於子之门则殆矣，吾长见笑於大方之家。”成玄英疏：“方，犹道也。”
见噎废食    比喻遇到偶然挫折就停止应作的事。
见义必为    谓看到正义的事情就去做。
见义当为    见“见义必为”。
见义敢为    见“见义勇为”。
见义勇为    谓看到正义的事便勇敢地去做。语本《论语·为政》：“见义不为，无勇也。”
见异思迁    亦作“见异思迁”。看见别的事物，就改变原来的主意。谓意志不坚定，喜爱不专一。语本《管子·小匡》“少而習焉，其心安焉，不见异物而迁焉。”又见《国语·齐语》。
见智见仁    见“见仁见智”。
建功立业    建立功勋业绩。
建瓴高屋    同“高屋建瓴”。
剑拔弩张    ①语本《汉书·王莽传下》：“省中相惊传，勒兵至郎署，皆拔刃张弩。”喻形势紧张或声势逼人。②喻书画笔法崛奇雄健。③谓诗词中表现的豪情壮志过于显露。
剑胆琴心    元吴莱《岁晚恍然有怀》诗：“小榻琴心展，长缨剑胆舒。”后以“剑胆琴心”比喻刚柔相济，任侠儒雅。
剑及屦及    亦作“剑及履及”。《左传·宣公十四年》：“楚子闻之，投袂而起，屦及於窒皇，剑及於寝门之外，车及於蒲胥之市。秋九月，楚子围宋。”言楚王急欲出兵为申舟报仇，迫不及待地跑出去，捧鞋的人追到窒皇，捧剑的人追到寝门之外，驾车的人追到蒲胥之市，才追上他。后以“剑及屦及”、“剑及履及”形容行动坚决迅速。
剑及履及    见“剑及屦及”。
剑戟森森    比喻人的内心险刻可畏。
剑气箫心    犹剑胆琴心。
剑首一吷    见“剑头一吷”。
剑态箫心    见“剑气箫心”。
剑头一吷    《庄子·则阳》：“夫吹筦也，犹有嗃也；吹剑首者，夬而已矣。尧舜，人之所誉也；道尧舜於戴晋人之前，譬犹一吷也。”成玄英疏：“吹剑环，声则微小……吹剑首声，曾无足可闻也。”后遂以“剑头一吷”喻微小，无足轻重。
贱敛贵出    旧时平抑物价的一种措施。谷贱伤农时，平价收进；谷贵苦民时，平价出售。
贱敛贵发    见“贱敛贵出”。
贱买贵卖    低价买进，高价售出。
贱目贵耳    谓轻视眼前所见，重视远道传闻。亦比喻舍近求远。
贱入贵出    低价买进，高价卖出。
渐不可长    谓刚露头的不好事物不能容许其发展滋长。
渐入佳境    《晋书·文苑传·顾恺之》：“恺之每食甘蔗，恆自尾至本。人或怪之。云：‘渐入佳境。’”意谓甘蔗下端比上端甜，从上到下，越吃越甜。后用来比喻境况逐渐好转或兴味逐渐浓厚。
